CI Rel ID,Source Asset ID,Source Asset Name,Source IP Address,Source Port,Source Type,Source Icon,Target Asset ID,Target Asset Name,Target IP Address,Target Port,Target Type,Target Icon,Relationship Type ID,Relationship Type Name,Relationship Color
REL4662,422a6b54-04bf-4a03-96c3-30412afddb67,Device4,229.109.114.7,63115,Printer,,3a4f4f1c-fdec-40bd-b199-844681e67e3b,Device760,236.51.216.235,1006,Router,,1,Replicated At,#1B8287
REL4118,c4efe2cc-75fa-4f39-96c3-3139b0c610f3,Device5,95.152.68.174,47278,Server,,465518e7-4d91-4c70-971b-383790bda65a,Device622,129.249.168.227,48746,Firewall,,1,Physically Connected To,#B3DF42
REL7893,c4efe2cc-75fa-4f39-96c3-3139b0c610f3,Device5,95.152.68.174,61264,Server,,8d4a702c-31d0-44e0-9745-603bc35adbac,Device638,117.242.218.94,12422,Switch,,3,Configured On,#9FA59D
REL1021,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,54044,Server,,7bcb7054-1c37-4a00-9d72-29513bb48c34,Device272,66.6.206.145,53977,Switch,,2,Hosted On,#816BCD
REL5022,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,44704,Server,,42758081-5d39-4172-ada4-879e6f7dcb6a,Device662,211.163.107.36,4641,Switch,,3,Connected To,#970C92
REL3185,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,38537,Server,,9b8bd582-d60c-48ac-ba2c-bce2330a7556,Device251,126.139.65.243,21267,Router,,4,Virtualized On,#251424
REL8345,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,42426,Server,,6b756d98-3192-426a-8572-97a341b47b7b,Device578,38.251.136.178,56602,Server,,5,Configured On,#FE24D0
REL3402,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,41337,Server,,8a830335-cd92-48f2-9069-050e7b774a74,Device996,215.182.51.53,55293,Printer,,2,Owns,#339CDC
REL3443,640e90a5-9a5e-45d5-a8c5-59766fa6bf18,Device7,138.58.150.114,6125,Printer,,2efad528-0713-4208-9743-250458092061,Device975,223.50.154.157,37852,Switch,,1,Virtualized On,#50BF3D
REL3794,640e90a5-9a5e-45d5-a8c5-59766fa6bf18,Device7,138.58.150.114,40844,Printer,,b6ced529-80c6-4951-85f3-0255a8f512bb,Device177,187.137.234.77,40013,Router,,4,Located In,#A38379
REL6999,640e90a5-9a5e-45d5-a8c5-59766fa6bf18,Device7,138.58.150.114,27210,Printer,,7395f655-0197-474b-997c-766185f5acad,Device114,179.113.120.216,25792,Printer,,3,Depends On,#585353
REL8626,d7def7ff-2498-449d-a290-b5b33f85e9aa,Device8,198.73.71.211,49025,Server,,640fed74-2039-4141-9a33-d30626992ea2,Device90,147.124.255.1,52881,Switch,,3,Located In,#27308B
REL9912,d7def7ff-2498-449d-a290-b5b33f85e9aa,Device8,198.73.71.211,2648,Server,,15f8a089-f16b-43ca-b071-382927eb30cd,Device912,72.179.176.126,32617,Printer,,3,Owns,#57D491
REL5611,3f2ec284-2df4-488e-b073-617066a016b7,Device9,142.215.77.222,45491,Firewall,,3481d5ef-c05d-4f84-81b1-8cd2de2831b1,Device985,105.76.60.42,32498,Firewall,,4,Connected To,#B9F9E7
REL9218,3f2ec284-2df4-488e-b073-617066a016b7,Device9,142.215.77.222,22755,Firewall,,4fd7aa23-2813-4295-a8cf-3aea47d235a9,Device40,222.28.31.142,30611,Server,,4,Hosted On,#B58728
REL6296,3f2ec284-2df4-488e-b073-617066a016b7,Device9,142.215.77.222,17835,Firewall,,d9e87ce3-847a-4e0b-b859-08a9d95b56af,Device569,195.248.14.217,26835,Switch,,1,Owns,#251600
REL9646,3f2ec284-2df4-488e-b073-617066a016b7,Device9,142.215.77.222,2405,Firewall,,0532744c-e5b4-4387-8f12-fb3f605a5fb7,Device43,243.42.250.126,44923,Router,,3,In Rack,#938C00
REL3780,3f2ec284-2df4-488e-b073-617066a016b7,Device9,142.215.77.222,49313,Firewall,,78976c3f-933b-4d7d-9161-51a5fba70d01,Device825,54.95.63.102,50737,Switch,,3,In Rack,#B68D23
REL1588,e20e43d1-a08c-4b65-bc56-a0e621165fa8,Device10,26.85.22.229,28236,Switch,,19f251c0-6c80-4b7e-a9fc-931a42425d92,Device387,188.179.41.161,63117,Router,,3,Depends On,#A4838C
REL9460,e20e43d1-a08c-4b65-bc56-a0e621165fa8,Device10,26.85.22.229,36484,Switch,,708bf171-13ea-48fd-b306-94de0cf24b4e,Device289,126.26.136.3,34557,Printer,,2,Depends On,#B95EC1
REL2117,e20e43d1-a08c-4b65-bc56-a0e621165fa8,Device10,26.85.22.229,60388,Switch,,a41af21c-bf06-47db-9eb7-f4809087f9c1,Device444,169.130.164.78,53116,Firewall,,3,Depends On,#9917B2
REL5676,e20e43d1-a08c-4b65-bc56-a0e621165fa8,Device10,26.85.22.229,20458,Switch,,01e2ad6c-7d99-4ed0-80dd-56ac6a131f57,Device531,160.125.155.83,22057,Server,,1,Virtualized On,#54F006
REL6761,947036e5-4725-4229-9a58-035cd9ea05c1,Device11,57.7.70.232,31915,Printer,,d2412736-2a5e-4ef2-b7b5-9ec48b3a3af3,Device260,88.252.158.15,4239,Printer,,3,Virtualized On,#1637E7
REL5414,947036e5-4725-4229-9a58-035cd9ea05c1,Device11,57.7.70.232,55012,Printer,,555a0444-0b0e-483d-86fc-95238f4013c0,Device716,89.174.6.208,54690,Firewall,,5,Physically Connected To,#DB7040
REL8734,947036e5-4725-4229-9a58-035cd9ea05c1,Device11,57.7.70.232,62850,Printer,,bc5ae139-90b3-4e05-854c-998c867ce6e3,Device722,64.56.29.134,47890,Switch,,4,Replicated At,#4E21D8
REL7325,5a9212a6-f4e6-4709-b06f-c97443a0761a,Device12,39.69.148.193,15511,Router,,77ec0c62-adc7-4e0f-9514-f3a9cc779525,Device107,1.84.39.223,18413,Router,,4,Hosted On,#C04A17
REL6362,5a9212a6-f4e6-4709-b06f-c97443a0761a,Device12,39.69.148.193,9960,Router,,7395f655-0197-474b-997c-766185f5acad,Device114,179.113.120.216,7967,Printer,,1,Hosted On,#A24045
REL2689,5a9212a6-f4e6-4709-b06f-c97443a0761a,Device12,39.69.148.193,20043,Router,,de5fa978-a63f-4aca-90d4-f2d2a1e1c0c0,Device679,103.121.71.213,46252,Server,,5,Replicated At,#79F291
REL5109,5a9212a6-f4e6-4709-b06f-c97443a0761a,Device12,39.69.148.193,40846,Router,,bffced3f-bc82-45b2-b59c-91020b2aa520,Device73,17.252.55.19,18632,Firewall,,3,In Rack,#921CCB
REL8650,f8b1faad-c59b-4437-92b4-4a5c312cc4e6,Device13,138.105.71.30,57309,Router,,b0926a3b-adef-41fd-b769-32953f0b39ef,Device764,197.80.201.242,29761,Firewall,,4,Connected To,#26E38E
REL3983,f4b8fe55-170d-46b9-823b-26aa0483b016,Device14,207.11.68.61,12183,Printer,,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,1715,Router,,3,In Rack,#FB2081
REL3711,f4b8fe55-170d-46b9-823b-26aa0483b016,Device14,207.11.68.61,39506,Printer,,bc5ae139-90b3-4e05-854c-998c867ce6e3,Device722,64.56.29.134,18529,Switch,,3,Owns,#7DD47B
REL5871,049b9f8c-6a80-49fb-9f0e-31bdb811ebee,Device15,29.130.180.152,53720,Router,,d34a3d0b-6666-4241-b71e-f56dd831dfb8,Device454,83.128.117.255,53941,Server,,1,Configured On,#BD50FF
REL9292,049b9f8c-6a80-49fb-9f0e-31bdb811ebee,Device15,29.130.180.152,60568,Router,,596cc5e4-3f95-42c2-8183-39c77b9cd244,Device507,42.171.195.192,23614,Server,,4,Hosted On,#0281C5
REL9222,049b9f8c-6a80-49fb-9f0e-31bdb811ebee,Device15,29.130.180.152,7730,Router,,9c99dcd5-5c78-4c3b-bd3b-9f6d6f86a810,Device314,181.176.144.146,20171,Switch,,1,In Rack,#5963D9
REL5358,049b9f8c-6a80-49fb-9f0e-31bdb811ebee,Device15,29.130.180.152,27964,Router,,6f378336-7eb0-403e-b312-921e4c539af3,Device370,124.142.239.229,6583,Firewall,,5,Virtualized On,#0D1229
REL2650,049b9f8c-6a80-49fb-9f0e-31bdb811ebee,Device15,29.130.180.152,58395,Router,,7530d73c-df61-4d68-bacb-25fe6ea93116,Device913,81.161.28.116,48850,Router,,3,In Rack,#8FB837
REL8126,26335fb9-deb2-48dd-a4a3-88e1a8b86fc8,Device16,91.238.194.54,38150,Router,,dcd5f762-6db7-430e-bff3-a32ca4a4ee40,Device470,38.120.43.86,49675,Printer,,5,Depends On,#E6009A
REL1416,26335fb9-deb2-48dd-a4a3-88e1a8b86fc8,Device16,91.238.194.54,39461,Router,,965f6539-6c01-4e22-a9b8-35b01730c1f0,Device169,76.226.254.188,47266,Firewall,,4,Physically Connected To,#3BA970
REL5829,26335fb9-deb2-48dd-a4a3-88e1a8b86fc8,Device16,91.238.194.54,14458,Router,,1c24c9d3-aced-4059-ae25-1a3e0c1f828e,Device711,212.160.172.149,24427,Firewall,,1,Located In,#C178A9
REL8835,6225b2af-43c9-4528-91e4-9c5f00694804,Device17,248.79.41.187,56881,Switch,,2a17415b-20e3-46c1-996f-1b7774e82732,Device95,71.69.254.77,38240,Server,,2,Located In,#3E3ABD
REL3754,6225b2af-43c9-4528-91e4-9c5f00694804,Device17,248.79.41.187,17198,Switch,,eda92a15-220b-4da6-9126-faf8cc0a1a10,Device725,99.69.104.231,5148,Router,,1,Located In,#FA2720
REL9780,6225b2af-43c9-4528-91e4-9c5f00694804,Device17,248.79.41.187,57877,Switch,,063681e0-7faf-481a-8098-3ac59190eeb4,Device427,192.190.53.50,43831,Firewall,,3,Located In,#DF2045
REL8212,6225b2af-43c9-4528-91e4-9c5f00694804,Device17,248.79.41.187,11715,Switch,,95a42dc6-26a1-4d14-a1a4-042372e9ec5e,Device294,157.254.55.65,25005,Server,,2,Replicated At,#8A8061
REL1740,6225b2af-43c9-4528-91e4-9c5f00694804,Device17,248.79.41.187,47666,Switch,,dde11900-3699-4dfb-a7c8-e6ee352b7fa6,Device74,94.42.167.235,40419,Router,,5,Owns,#37AA78
REL7394,2c83b3a7-4d3d-4673-a89e-4fdd8b64f5a3,Device18,123.224.88.89,50723,Server,,26335fb9-deb2-48dd-a4a3-88e1a8b86fc8,Device16,91.238.194.54,35614,Router,,2,In Rack,#74BC5C
REL1419,f350d84f-71db-4427-ad3a-b5d7c27a0eca,Device19,73.106.67.158,8845,Switch,,dc5c64e2-17b1-48fe-b406-00e882779386,Device715,82.147.4.39,63521,Firewall,,5,Replicated At,#420B6F
REL4302,2b76e810-1167-41f9-8a00-25c6714409c4,Device20,146.168.69.217,63754,Server,,d82ba455-08d6-4bc1-b72e-945cc8b1ee38,Device258,246.217.159.56,26814,Printer,,3,Hosted On,#D2F42B
REL9201,2b76e810-1167-41f9-8a00-25c6714409c4,Device20,146.168.69.217,48680,Server,,58a07e93-8cc9-4972-97d1-cd5e8948e5b1,Device24,220.115.107.157,57402,Server,,3,Physically Connected To,#66AC30
REL3189,30e005f6-2b67-4959-8709-78927da5e512,Device21,95.149.161.109,39128,Server,,1d9c3705-61a9-4626-8229-80831018edb6,Device275,224.28.159.107,56120,Router,,4,Physically Connected To,#E2C22A
REL7855,30e005f6-2b67-4959-8709-78927da5e512,Device21,95.149.161.109,30504,Server,,089994ac-6a85-4908-bad3-da1280be9f87,Device652,107.229.76.219,65162,Server,,3,Physically Connected To,#24EAE0
REL8178,30e005f6-2b67-4959-8709-78927da5e512,Device21,95.149.161.109,25921,Server,,46356ac3-bc88-48e9-87b2-bb7d11777aa1,Device567,86.139.216.122,11435,Firewall,,5,Physically Connected To,#B958E3
REL5864,30e005f6-2b67-4959-8709-78927da5e512,Device21,95.149.161.109,41928,Server,,840f4c06-2e3e-4308-810f-1fb8c300b33c,Device922,245.103.252.187,8975,Switch,,5,Located In,#AE4BC3
REL4738,30e005f6-2b67-4959-8709-78927da5e512,Device21,95.149.161.109,42456,Server,,17552895-7736-4241-bd0f-d53daaa39a6a,Device240,236.30.130.219,65449,Switch,,5,Replicated At,#C77972
REL8132,c9af74ae-1239-4643-ac37-3f44869d4382,Device22,162.240.60.81,47916,Switch,,d82ba455-08d6-4bc1-b72e-945cc8b1ee38,Device258,246.217.159.56,46629,Printer,,2,Depends On,#6CF2DE
REL6959,c9af74ae-1239-4643-ac37-3f44869d4382,Device22,162.240.60.81,18258,Switch,,4caaa397-6b9d-4350-944a-7800a9c204a2,Device47,203.143.177.159,56002,Router,,1,Replicated At,#CFEAF3
REL4909,c9af74ae-1239-4643-ac37-3f44869d4382,Device22,162.240.60.81,12322,Switch,,8b4156a1-a2b0-4318-a76c-5dbc77c6f709,Device721,198.74.137.224,65477,Server,,1,Physically Connected To,#7571B5
REL5535,c9af74ae-1239-4643-ac37-3f44869d4382,Device22,162.240.60.81,35787,Switch,,fd261389-b327-461b-aa87-9abc6d72d6af,Device794,16.152.205.247,13800,Router,,3,Physically Connected To,#AAC3BA
REL1021,9bf96c44-737e-4276-a885-84860cada10c,Device23,139.40.143.144,17092,Printer,,e58b35f1-c903-4dd1-8b68-638e41048d23,Device393,135.62.220.170,44649,Router,,4,Located In,#06FE30
REL4134,9bf96c44-737e-4276-a885-84860cada10c,Device23,139.40.143.144,36089,Printer,,a0fee2b4-1a79-4d32-8adf-1e13c0b031ce,Device155,177.80.135.10,37026,Firewall,,4,Depends On,#6C2F06
REL3028,58a07e93-8cc9-4972-97d1-cd5e8948e5b1,Device24,220.115.107.157,41674,Server,,8e9eaa96-402c-4670-b9f3-3378b63022b0,Device447,87.2.80.191,3619,Firewall,,4,Hosted On,#35D927
REL5806,01a50cc2-0498-4d7b-b5c1-4e5dc8fe4d74,Device25,128.61.81.56,47417,Server,,8a830335-cd92-48f2-9069-050e7b774a74,Device996,215.182.51.53,56122,Printer,,4,Replicated At,#348621
REL7791,01a50cc2-0498-4d7b-b5c1-4e5dc8fe4d74,Device25,128.61.81.56,36968,Server,,fe299211-ead6-4156-8e33-81aac401dc60,Device865,251.218.5.201,9869,Switch,,3,Owns,#B68D4A
REL2851,01a50cc2-0498-4d7b-b5c1-4e5dc8fe4d74,Device25,128.61.81.56,32144,Server,,a3cf0a7a-fa21-46f0-8382-3c7dbb7c547b,Device125,250.126.201.109,58172,Server,,2,Configured On,#88EC2D
REL9810,01a50cc2-0498-4d7b-b5c1-4e5dc8fe4d74,Device25,128.61.81.56,9747,Server,,b4c856da-61ab-4fa5-b5be-ca91d3d15c11,Device973,150.173.187.223,49638,Router,,2,Virtualized On,#5768C2
REL7874,01a50cc2-0498-4d7b-b5c1-4e5dc8fe4d74,Device25,128.61.81.56,5667,Server,,2ad6e6d8-9bc8-4e63-b08f-ce0b5e945e08,Device301,179.3.23.33,18509,Firewall,,4,Replicated At,#D46950
REL8771,dc3f3e33-c14d-479c-bb9f-ece0deed8361,Device26,80.2.200.58,17977,Server,,feb42622-e5f8-4340-abc3-73caf3e564dc,Device286,208.209.172.200,47538,Switch,,3,Replicated At,#F21170
REL7535,dc3f3e33-c14d-479c-bb9f-ece0deed8361,Device26,80.2.200.58,50095,Server,,6787292c-3b80-4d1d-9889-906e9af695ad,Device713,16.248.199.33,62366,Switch,,2,Depends On,#7FCD53
REL7864,b5782fd2-69d8-4815-b2d9-d56f3bb546dc,Device27,231.204.20.171,36264,Router,,a2394cbc-a512-41ad-9b4e-9563f4476796,Device960,223.56.106.232,17585,Firewall,,3,Owns,#616893
REL9598,b5782fd2-69d8-4815-b2d9-d56f3bb546dc,Device27,231.204.20.171,978,Router,,be6e965c-1e89-4fad-8702-7ba891c9dbeb,Device416,106.244.114.228,21759,Printer,,3,Owns,#294232
REL4399,2fa2f6cc-a213-452a-97b6-195c1f5cd7d3,Device28,10.116.141.175,20882,Router,,54f59cc3-8637-4f78-9a91-a98fd8af0faa,Device3,159.67.34.206,55008,Server,,1,Owns,#29B177
REL6260,2fa2f6cc-a213-452a-97b6-195c1f5cd7d3,Device28,10.116.141.175,26479,Router,,6d942cd2-7f38-4ef6-bc97-3219d5a4e572,Device199,87.182.173.173,53678,Switch,,5,Configured On,#6BDED7
REL8749,2fa2f6cc-a213-452a-97b6-195c1f5cd7d3,Device28,10.116.141.175,30441,Router,,d46b9189-1007-4421-ab6e-4a4f0a2a6e10,Device154,181.200.201.44,35098,Firewall,,5,Connected To,#82A0AF
REL6647,32f6f79e-9eae-41ce-81aa-9b1714ff706c,Device29,53.87.247.41,59195,Printer,,5ac83e23-601d-462d-8c7f-689a6eb330d7,Device962,59.165.186.196,22837,Printer,,4,Replicated At,#938BA3
REL8500,11648f8c-5dd3-43a2-a8b6-55c4323ad154,Device30,221.71.167.65,56912,Switch,,146d1f3c-a752-4d15-ac35-6c69fdc84e02,Device724,170.221.97.199,60500,Server,,1,Configured On,#001C03
REL3903,11648f8c-5dd3-43a2-a8b6-55c4323ad154,Device30,221.71.167.65,47747,Switch,,61d3aaa5-a756-4bf6-9852-fe66b4819335,Device529,16.69.238.245,45058,Router,,2,In Rack,#23D01C
REL6200,11648f8c-5dd3-43a2-a8b6-55c4323ad154,Device30,221.71.167.65,14306,Switch,,7af2880d-21e5-4b85-9a77-cc71c079f03a,Device591,159.228.53.215,10255,Router,,1,Replicated At,#A689E9
REL8857,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,8844,Router,,be13929d-c6bf-4dfb-a6ee-7a2c6c7c37c2,Device554,27.34.102.224,3416,Router,,5,Physically Connected To,#30B6DE
REL3901,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,16392,Router,,84f64a8b-4c7f-4c27-b519-5761e2573a94,Device267,95.194.235.251,29291,Server,,5,Connected To,#254179
REL1070,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,63641,Router,,de170a64-772b-48c6-90ae-a764377d2dc5,Device905,37.239.225.13,15093,Router,,1,Hosted On,#B0296A
REL8685,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,40282,Router,,a55ef63c-5391-4ebb-88fd-f28d137fb0d5,Device658,198.235.26.16,19001,Router,,1,Connected To,#75E409
REL1160,798268c5-dd93-46e1-9a04-9759eed22816,Device31,97.113.8.185,63387,Router,,e523149a-def4-401a-ac7d-ddc2b08f88ed,Device892,45.247.23.159,4645,Server,,5,In Rack,#1EF864
REL2993,5e60a444-8884-4cd0-a14b-44d50f4d9368,Device32,11.6.4.11,39111,Switch,,f4045ed7-265a-4fc9-a9e0-74ad2bf80e9b,Device6,124.184.237.96,4901,Server,,1,Located In,#ACE5B8
REL7700,5e60a444-8884-4cd0-a14b-44d50f4d9368,Device32,11.6.4.11,49950,Switch,,c5c6723a-1806-4b61-8d5a-efc951082ec0,Device749,224.15.72.97,47826,Printer,,3,Replicated At,#EC5BEC
REL6015,5e60a444-8884-4cd0-a14b-44d50f4d9368,Device32,11.6.4.11,27409,Switch,,c7c4a8f3-08fa-4203-9424-0d9ec340c4c5,Device474,39.147.42.243,760,Router,,3,Hosted On,#C5F5FD
REL2508,5e60a444-8884-4cd0-a14b-44d50f4d9368,Device32,11.6.4.11,24479,Switch,,a41af21c-bf06-47db-9eb7-f4809087f9c1,Device444,169.130.164.78,60596,Firewall,,5,Located In,#98274E
REL8051,5e60a444-8884-4cd0-a14b-44d50f4d9368,Device32,11.6.4.11,56077,Switch,,6819505a-221a-46ea-a1b3-df2b25222c52,Device659,176.251.242.68,15620,Printer,,2,Owns,#864556
REL8119,7348efa4-09b6-484b-b6d1-077bf0c81aa2,Device33,90.99.38.125,37319,Server,,08045d06-3488-47ad-8297-b3c4e7556ff2,Device312,19.9.80.131,48711,Server,,3,Replicated At,#B151A1
REL4937,7348efa4-09b6-484b-b6d1-077bf0c81aa2,Device33,90.99.38.125,51963,Server,,6d5b398b-63a2-4357-ac03-325d326d4b8f,Device482,197.162.206.206,60191,Switch,,5,Hosted On,#5B98A0
REL6937,7348efa4-09b6-484b-b6d1-077bf0c81aa2,Device33,90.99.38.125,57939,Server,,9f5cd64a-9960-4e2d-9988-e64af8dac19a,Device44,196.49.205.195,19180,Firewall,,2,Hosted On,#A478E6
REL3672,7348efa4-09b6-484b-b6d1-077bf0c81aa2,Device33,90.99.38.125,20328,Server,,d96e7074-f82f-4fa3-9750-c1952ca74856,Device829,244.95.26.17,12489,Switch,,1,Located In,#CAA41D
REL7959,7348efa4-09b6-484b-b6d1-077bf0c81aa2,Device33,90.99.38.125,13856,Server,,d16fcb13-5838-4c12-be9e-6550cff37184,Device580,121.190.104.182,11337,Printer,,3,Located In,#DBDC1F
REL3269,82da94fe-5af9-455e-89c1-97cf6a2aded8,Device34,144.206.73.227,50770,Server,,60aa4bc3-3f7b-410b-92ad-97eb31a0262e,Device327,169.52.208.28,21074,Switch,,5,Hosted On,#2DF333
REL3172,82da94fe-5af9-455e-89c1-97cf6a2aded8,Device34,144.206.73.227,22487,Server,,40578afe-3dbf-44f0-81e9-114ef87beccd,Device182,163.168.234.118,27985,Firewall,,5,Virtualized On,#925F86
REL5715,91ea75fe-91cb-4c00-b25e-6ba9eab95c63,Device35,75.158.130.215,14534,Server,,69a16a0e-a2ba-413e-9895-168c173f42f8,Device456,158.187.61.97,19129,Server,,5,Located In,#11D354
REL9057,ec580c0c-d56c-48ce-86f9-5cfb8fe6651b,Device36,167.24.50.20,65509,Router,,4912f2ab-b398-4982-b28a-690eb43c22cc,Device885,110.133.9.84,18091,Switch,,5,Virtualized On,#989BC0
REL5204,f47a81da-48cc-4877-888a-dc96ccdf2f4a,Device37,40.29.199.246,34046,Switch,,96603ab2-1b88-43d7-bb90-f487c1ec8179,Device805,223.235.210.15,30176,Switch,,2,Replicated At,#C608CA
REL2664,f47a81da-48cc-4877-888a-dc96ccdf2f4a,Device37,40.29.199.246,11881,Switch,,f0fcee11-041a-49ad-8177-6df057605da5,Device54,17.35.223.34,63501,Printer,,1,Replicated At,#EC84F8
REL4411,b320c0e0-46b9-4dc7-a0c4-3b6b90626bb5,Device38,187.22.64.155,15413,Router,,d9196b8b-da7e-4568-994f-6dbf9cb042f1,Device987,24.60.164.239,56384,Server,,2,Located In,#E0141A
REL1762,b320c0e0-46b9-4dc7-a0c4-3b6b90626bb5,Device38,187.22.64.155,16083,Router,,3bb9bbc4-a222-41bb-81f1-8b6d7fd90c1b,Device690,249.241.30.218,11367,Server,,2,In Rack,#30A8E1
REL4423,481e34d3-e27a-464e-88fb-8d6ecc38f2e0,Device39,59.129.230.143,39925,Router,,f7bb67b8-adc7-4f23-b35f-24d8cbb99d08,Device338,5.129.68.27,43214,Server,,5,Hosted On,#352AED
REL4003,481e34d3-e27a-464e-88fb-8d6ecc38f2e0,Device39,59.129.230.143,38983,Router,,dbd15154-1ac2-42c0-bcd8-e9b040f50d60,Device132,147.161.60.181,38974,Router,,2,Connected To,#E435C6
REL4076,481e34d3-e27a-464e-88fb-8d6ecc38f2e0,Device39,59.129.230.143,19327,Router,,81751a3b-2eb4-4151-a104-80d7cecc0b1b,Device453,54.123.100.170,1212,Firewall,,1,Hosted On,#8BDB72
REL3554,481e34d3-e27a-464e-88fb-8d6ecc38f2e0,Device39,59.129.230.143,47812,Router,,163f7de3-11f7-4af6-9162-2cbf8afd8bda,Device123,253.243.177.57,1755,Router,,5,Configured On,#9917F8
REL3198,4fd7aa23-2813-4295-a8cf-3aea47d235a9,Device40,222.28.31.142,58706,Server,,ea1aa4d6-5245-48a1-ba22-3b66c25320da,Device262,61.169.242.116,22933,Router,,3,In Rack,#C665CE
REL1112,4fd7aa23-2813-4295-a8cf-3aea47d235a9,Device40,222.28.31.142,5784,Server,,d0457da0-2a34-4255-83c4-ce2ee6a74572,Device791,138.76.246.25,57256,Router,,2,Hosted On,#2DC633
REL1141,02717707-57ab-42e8-820b-d7e98929144b,Device41,109.169.138.239,54724,Router,,def833dd-6936-4956-a0ef-b59b363a3814,Device209,75.227.228.187,8398,Switch,,3,Configured On,#466D4B
REL8694,02717707-57ab-42e8-820b-d7e98929144b,Device41,109.169.138.239,17446,Router,,0f421c17-607d-402b-8e7f-5b7f2d8045f6,Device481,56.122.169.149,35619,Router,,5,Virtualized On,#696C10
REL3916,02717707-57ab-42e8-820b-d7e98929144b,Device41,109.169.138.239,12495,Router,,51de5705-9e64-4f5b-b92e-c1bbc986e710,Device255,110.229.119.110,27275,Firewall,,3,Virtualized On,#4E164C
REL9483,02717707-57ab-42e8-820b-d7e98929144b,Device41,109.169.138.239,58553,Router,,246cbb24-484d-4d2c-ab3a-dc2b0af37e98,Device616,78.187.53.185,21430,Printer,,3,Configured On,#6E32BF
REL6053,02717707-57ab-42e8-820b-d7e98929144b,Device41,109.169.138.239,21703,Router,,60aa4bc3-3f7b-410b-92ad-97eb31a0262e,Device327,169.52.208.28,25905,Switch,,1,Virtualized On,#58FEC2
REL9400,8780065a-8d16-43e1-b518-848073179a68,Device42,163.147.68.233,61246,Switch,,e5905b91-20b5-48b1-8082-33fd0fd83473,Device991,247.119.217.28,1835,Server,,1,Depends On,#C5426A
REL3025,8780065a-8d16-43e1-b518-848073179a68,Device42,163.147.68.233,32483,Switch,,f11d7e39-281d-4737-9f79-f73412be1dbf,Device465,39.185.140.28,53979,Printer,,5,Configured On,#E33644
